source_group_image,sku,product_name,output_filename
IMG_20260426_102229.jpg,JWLD-040,Green Apple Cream Crystal Lighter,jwld-040-green-apple-cream-crystal-lighter.webp
IMG_20260426_102229.jpg,JWLD-041,Honey Topaz Crystal Lighter,jwld-041-honey-topaz-crystal-lighter.webp
IMG_20260426_102229.jpg,JWLD-042,Pastel Rainbow Stripe Crystal Lighter,jwld-042-pastel-rainbow-stripe-crystal-lighter.webp
IMG_20260426_102229.jpg,JWLD-043,Prism Rainbow Crystal Lighter,jwld-043-prism-rainbow-crystal-lighter.webp
IMG_20260426_102229.jpg,JWLD-044,Orange Creamsicle Crystal Lighter,jwld-044-orange-creamsicle-crystal-lighter.webp
IMG_20260426_102229.jpg,JWLD-045,Pink Charcoal Dot Crystal Lighter,jwld-045-pink-charcoal-dot-crystal-lighter.webp
IMG_20260426_102229.jpg,JWLD-046,Aqua Smoke Crystal Lighter,jwld-046-aqua-smoke-crystal-lighter.webp
IMG_20260426_102229.jpg,JWLD-047,Amber Confetti Crystal Lighter,jwld-047-amber-confetti-crystal-lighter.webp
IMG_20260426_102229.jpg,JWLD-048,Midnight Aqua Pearl Crystal Lighter,jwld-048-midnight-aqua-pearl-crystal-lighter.webp
